split,model,class,bin,lower_bound,upper_bound,observations,mean_probability,observed_rate,calibration_gap
validation,ensemble_sports,H,9,0.8,0.9,18,0.8239594141555744,0.7777777777777778,-0.0461816363777966
validation,ensemble_sports,D,2,0.1,0.2,122,0.1627731011635437,0.14754098360655737,-0.015232117556986335
validation,ensemble_sports,D,3,0.2,0.30000000000000004,556,0.2582371125233029,0.2949640287769784,0.03672691625367552
validation,ensemble_sports,D,4,0.30000000000000004,0.4,82,0.31154149719609325,0.2682926829268293,-0.04324881426926397
validation,ensemble_sports,A,1,0.0,0.1,74,0.07502760700970057,0.05405405405405406,-0.020973552955646513
validation,ensemble_sports,A,2,0.1,0.2,171,0.1552889141549377,0.12280701754385964,-0.03248189661107806
validation,ensemble_sports,A,3,0.2,0.30000000000000004,215,0.24671883123371618,0.23255813953488372,-0.014160691698832467
validation,ensemble_sports,A,4,0.30000000000000004,0.4,121,0.34476423721409705,0.371900826446281,0.027136589232183927
validation,ensemble_sports,A,5,0.4,0.5,95,0.44341323698225815,0.5473684210526316,0.10395518407037346
validation,ensemble_sports,A,6,0.5,0.6000000000000001,56,0.5561397195117638,0.5535714285714286,-0.0025682909403351717
validation,ensemble_sports,A,7,0.6000000000000001,0.7000000000000001,28,0.6308583689041843,0.6071428571428571,-0.023715511761327246
