split,model,class,bin,observations,mean_probability,observed_rate,calibration_gap
validation,hist_boost_sports,A,9,1,0.8010368925659511,1.0,0.19896310743404888
validation,random_forest_market,H,2,32,0.17767264698239615,0.15625,-0.021422646982396154
validation,random_forest_market,H,3,143,0.2498904345606145,0.16083916083916083,-0.08905127372145366
validation,random_forest_market,H,4,129,0.3533288683864751,0.32558139534883723,-0.02774747303763786
validation,random_forest_market,H,5,172,0.4462859657265018,0.4127906976744186,-0.033495268052083194
validation,random_forest_market,H,6,125,0.5522847209531926,0.552,-0.000284720953192541
validation,random_forest_market,H,7,62,0.6443828174043957,0.7419354838709677,0.09755266646657201
validation,random_forest_market,H,8,80,0.7540408734435997,0.8375,0.08345912655640031
validation,random_forest_market,H,9,17,0.8138358073560217,0.7647058823529411,-0.049129925003080555
validation,random_forest_market,D,2,121,0.159952476696262,0.1487603305785124,-0.011192146117749602
validation,random_forest_market,D,3,432,0.263605569788336,0.2569444444444444,-0.006661125343891572
validation,random_forest_market,D,4,207,0.31715329271808795,0.36231884057971014,0.04516554786162219
validation,random_forest_market,A,1,85,0.07842011806678212,0.047058823529411764,-0.031361294537370354
validation,random_forest_market,A,2,180,0.15513775867328,0.14444444444444443,-0.010693314228835571
validation,random_forest_market,A,3,210,0.25177229919519584,0.20952380952380953,-0.04224848967138631
validation,random_forest_market,A,4,110,0.34195280660565813,0.39090909090909093,0.048956284303432795
validation,random_forest_market,A,5,90,0.45544000446183247,0.6333333333333333,0.17789332887150083
validation,random_forest_market,A,6,61,0.539342299615486,0.5081967213114754,-0.031145578304010546
validation,random_forest_market,A,7,24,0.6351734739490372,0.625,-0.010173473949037226
validation,random_forest_sports,H,2,23,0.18672522952546167,0.17391304347826086,-0.012812186047200802
validation,random_forest_sports,H,3,134,0.2528710739672724,0.14925373134328357,-0.1036173426239888
validation,random_forest_sports,H,4,147,0.34906074015764915,0.3401360544217687,-0.008924685735880455
validation,random_forest_sports,H,5,178,0.4514996945756257,0.4157303370786517,-0.03576935749697402
validation,random_forest_sports,H,6,123,0.5383969211838636,0.5365853658536586,-0.0018115553302050502
validation,random_forest_sports,H,7,69,0.6459722101482719,0.7391304347826086,0.09315822463433676
validation,random_forest_sports,H,8,74,0.7500562039694216,0.8513513513513513,0.10129514738192968
validation,random_forest_sports,H,9,12,0.8153963656872643,0.6666666666666666,-0.14872969902059763
