split,model,class,bin,lower_bound,upper_bound,observations,mean_probability,observed_rate,calibration_gap
validation,logistic_market,H,2,0.1,0.2,50,0.15556044723214468,0.2,0.04443955276785533
validation,logistic_market,H,3,0.2,0.30000000000000004,86,0.24880305190381444,0.13953488372093023,-0.1092681681828842
validation,logistic_market,H,4,0.30000000000000004,0.4,149,0.3511358965896433,0.3288590604026846,-0.022276836186958693
validation,logistic_market,H,5,0.4,0.5,127,0.44855516429738695,0.3464566929133858,-0.10209847138400113
validation,logistic_market,H,6,0.5,0.6000000000000001,112,0.5483440592746361,0.5178571428571429,-0.030486916417493237
validation,logistic_market,H,7,0.6000000000000001,0.7000000000000001,102,0.6460770435626335,0.6666666666666666,0.020589623104033117
validation,logistic_market,H,8,0.7000000000000001,0.8,84,0.745516283686717,0.6785714285714286,-0.06694485511528836
validation,logistic_market,H,9,0.8,0.9,38,0.8471195502908596,0.9210526315789473,0.07393308128808773
validation,logistic_market,H,10,0.9,1.0,5,0.9584471604093914,0.6,-0.3584471604093914
validation,logistic_market,D,1,0.0,0.1,27,0.07573511498123542,0.18518518518518517,0.10945007020394976
validation,logistic_market,D,2,0.1,0.2,193,0.15871147213618098,0.2538860103626943,0.09517453822651334
validation,logistic_market,D,3,0.2,0.30000000000000004,336,0.25236513102716923,0.23809523809523808,-0.01426989293193115
validation,logistic_market,D,4,0.30000000000000004,0.4,170,0.34164261544915797,0.35294117647058826,0.011298561021430287
validation,logistic_market,D,5,0.4,0.5,30,0.43714340831023,0.3,-0.13714340831023003
validation,logistic_market,D,6,0.5,0.6000000000000001,4,0.5296646124126871,0.25,-0.27966461241268714
validation,logistic_market,A,1,0.0,0.1,133,0.06441373789368707,0.06015037593984962,-0.004263361953837447
validation,logistic_market,A,2,0.1,0.2,192,0.14710451088239515,0.16145833333333334,0.014353822450938192
validation,logistic_market,A,3,0.2,0.30000000000000004,151,0.24737648959832254,0.2251655629139073,-0.02221092668441524
validation,logistic_market,A,4,0.30000000000000004,0.4,126,0.34865476091529224,0.48412698412698413,0.1354722232116919
validation,logistic_market,A,5,0.4,0.5,62,0.4416371373536722,0.5161290322580645,0.07449189490439229
validation,logistic_market,A,6,0.5,0.6000000000000001,52,0.5406650000892504,0.5576923076923077,0.017027307603057262
validation,logistic_market,A,7,0.6000000000000001,0.7000000000000001,33,0.646525648008011,0.5757575757575758,-0.07076807225043524
validation,logistic_market,A,8,0.7000000000000001,0.8,9,0.7380807070468349,0.6666666666666666,-0.0714140403801683
validation,logistic_market,A,9,0.8,0.9,1,0.8088298339647793,0.0,-0.8088298339647793
validation,logistic_market,A,10,0.9,1.0,1,0.9355405490133839,0.0,-0.9355405490133839
validation,logistic_sports,H,1,0.0,0.1,13,0.07138381655678586,0.23076923076923078,0.15938541421244493
validation,logistic_sports,H,2,0.1,0.2,53,0.15077182657126406,0.1509433962264151,0.00017156965515102707
validation,logistic_sports,H,3,0.2,0.30000000000000004,81,0.24863301247850517,0.1728395061728395,-0.07579350630566567
validation,logistic_sports,H,4,0.30000000000000004,0.4,112,0.34713885861361166,0.33035714285714285,-0.016781715756468807
validation,logistic_sports,H,5,0.4,0.5,156,0.44429729778597377,0.3717948717948718,-0.07250242599110196
validation,logistic_sports,H,6,0.5,0.6000000000000001,115,0.5538285698229476,0.4782608695652174,-0.07556770025773019
validation,logistic_sports,H,7,0.6000000000000001,0.7000000000000001,107,0.6469686508045139,0.6542056074766355,0.007236956672121542
validation,logistic_sports,H,8,0.7000000000000001,0.8,77,0.7453419133233605,0.7012987012987013,-0.04404321202465922
validation,logistic_sports,H,9,0.8,0.9,41,0.8352853316834048,0.8292682926829268,-0.006017039000478008
validation,logistic_sports,H,10,0.9,1.0,5,0.9620514996211307,0.6,-0.3620514996211307
validation,logistic_sports,D,1,0.0,0.1,13,0.06270041611975771,0.3076923076923077,0.24499189157255
validation,logistic_sports,D,2,0.1,0.2,212,0.15903631823763126,0.22641509433962265,0.06737877610199139
validation,logistic_sports,D,3,0.2,0.30000000000000004,352,0.24726635205853656,0.2727272727272727,0.025460920668736148
validation,logistic_sports,D,4,0.30000000000000004,0.4,163,0.338669460958125,0.3067484662576687,-0.031920994700456284
validation,logistic_sports,D,5,0.4,0.5,17,0.42749563717936295,0.35294117647058826,-0.0745544607087747
validation,logistic_sports,D,6,0.5,0.6000000000000001,3,0.5276580092265775,0.0,-0.5276580092265775
validation,logistic_sports,A,1,0.0,0.1,143,0.06366798950092574,0.07692307692307693,0.013255087422151188
validation,logistic_sports,A,2,0.1,0.2,185,0.15470285586016488,0.16216216216216217,0.007459306301997287
validation,logistic_sports,A,3,0.2,0.30000000000000004,134,0.24901728719934624,0.2462686567164179,-0.002748630482928338
validation,logistic_sports,A,4,0.30000000000000004,0.4,129,0.35016966150642564,0.4418604651162791,0.09169080360985343
validation,logistic_sports,A,5,0.4,0.5,74,0.4438408229605029,0.5135135135135135,0.06967269055301056
validation,logistic_sports,A,6,0.5,0.6000000000000001,44,0.5467459940316518,0.5454545454545454,-0.001291448577106391
validation,logistic_sports,A,7,0.6000000000000001,0.7000000000000001,36,0.6477298931145519,0.5555555555555556,-0.09217433755899629
validation,logistic_sports,A,8,0.7000000000000001,0.8,13,0.7318101658220935,0.46153846153846156,-0.2702717042836319
validation,logistic_sports,A,9,0.8,0.9,1,0.8118211983809237,1.0,0.1881788016190763
validation,logistic_sports,A,10,0.9,1.0,1,0.9561737667346117,0.0,-0.9561737667346117
validation,market,H,1,0.0,0.1,4,0.08634388351583978,0.25,0.16365611648416023
validation,market,H,2,0.1,0.2,49,0.16283424623768492,0.10204081632653061,-0.0607934299111543
validation,market,H,3,0.2,0.30000000000000004,107,0.25410139987799124,0.17757009345794392,-0.07653130642004732
validation,market,H,4,0.30000000000000004,0.4,161,0.3525536927855056,0.30434782608695654,-0.04820586669854904
validation,market,H,5,0.4,0.5,161,0.4501045598233728,0.43478260869565216,-0.015321951127720612
validation,market,H,6,0.5,0.6000000000000001,138,0.5496095633508468,0.572463768115942,0.022854204765095254
validation,market,H,7,0.6000000000000001,0.7000000000000001,68,0.6525015701965188,0.7352941176470589,0.0827925474505401
validation,market,H,8,0.7000000000000001,0.8,56,0.7432392896567307,0.875,0.1317607103432693
validation,market,H,9,0.8,0.9,16,0.8253195978445665,0.875,0.049680402155433456
validation,market,D,1,0.0,0.1,1,0.0892305833952102,0.0,-0.0892305833952102
validation,market,D,2,0.1,0.2,103,0.16239371428175525,0.08737864077669903,-0.07501507350505622
validation,market,D,3,0.2,0.30000000000000004,474,0.261091843110714,0.2805907172995781,0.01949887418886409
validation,market,D,4,0.30000000000000004,0.4,182,0.3133932752896627,0.34065934065934067,0.02726606536967796
validation,market,A,1,0.0,0.1,54,0.07833161183736635,0.037037037037037035,-0.04129457480032932
validation,market,A,2,0.1,0.2,178,0.15577464365977878,0.10674157303370786,-0.049033070626070915
validation,market,A,3,0.2,0.30000000000000004,216,0.24956031638917384,0.21296296296296297,-0.03659735342621087
validation,market,A,4,0.30000000000000004,0.4,150,0.34971924315333686,0.3933333333333333,0.043614090179996456
validation,market,A,5,0.4,0.5,77,0.4439116271000541,0.5714285714285714,0.1275169443285173
validation,market,A,6,0.5,0.6000000000000001,54,0.5483672551003345,0.5555555555555556,0.007188300455221119
validation,market,A,7,0.6000000000000001,0.7000000000000001,25,0.6381228898126321,0.6,-0.03812288981263212
validation,market,A,8,0.7000000000000001,0.8,5,0.7428072329833431,0.8,0.05719276701665699
validation,market,A,9,0.8,0.9,1,0.8244408535572437,1.0,0.17555914644275628
